flightNumber,airline,origin,destination,dayOfWeek,scheduledDepartureTime,scheduledArrivalTime,validFrom,validTo
2155,TestIndigo,Delhi,Madurai,"Monday,Wednesday,Friday",12:25,15:45,27-10-2020,27-03-2021
6614,TestIndigo,Delhi,Bagdogra,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",12:10,14:10,25-10-2020,27-03-2021
7933,TestIndigo,Dibrugarh,Dimapur,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",10:45,12:05,29-03-2020,24-10-2020
2424,TestIndigo,Delhi,Lucknow,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",14:10,15:20,25-10-2020,27-03-2021
5082,TestIndigo,Mumbai,Lucknow,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",01:05,,02-06-2020,23-10-2020
6388,TestIndigo,Bengaluru,Lucknow,"Monday,Wednesday,Friday",19:15,,25-10-2020,27-03-2021
7316,TestIndigo,Indore,Lucknow,Saturday,06:20,,29-03-2020,29-03-2020
6161,TestIndigo,Guwahati,Lucknow,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",19:10,21:00,29-03-2020,24-10-2020
6334,TestIndigo,Hyderabad,Kochi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",10:40,,29-03-2020,24-10-2020
7222,TestIndigo,Thiruvananthapuram,Kochi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",09:20,10:10,29-03-2020,24-10-2020
5365,TestIndigo,Mumbai,Kochi,Saturday,00:25,,25-10-2020,24-10-2020
7352,TestIndigo,Kannur,Kochi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",06:30,07:30,29-03-2020,24-10-2020
6329,TestIndigo,Hyderabad,Mumbai,Saturday,06:35,,25-10-2020,25-10-2020
2173,TestIndigo,Delhi,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",18:20,20:35,25-10-2020,27-03-2021
6957,TestIndigo,Delhi,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",19:20,,25-10-2020,27-03-2021
6375,TestIndigo,Bhubaneswar,Mumbai,Tuesday,04:45,,03-02-2021,24-03-2021
6849,TestIndigo,Bhubaneswar,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",09:30,12:20,01-02-2021,27-03-2021
5347,TestIndigo,Aurangabad,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",12:10,13:10,25-10-2020,27-03-2021
5081,TestIndigo,Lucknow,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",22:05,,02-06-2020,24-10-2020
6342,TestIndigo,Kochi,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",07:50,,25-10-2020,27-03-2021
8157,TestIndigo,Visakhapatnam,Mumbai,Saturday,06:00,,29-03-2020,29-03-2020
6261,TestIndigo,Amritsar,Mumbai,"Monday,Wednesday,Friday",13:20,15:55,27-10-2020,27-03-2021
6787,TestIndigo,Patna,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",16:40,19:20,01-05-2020,15-06-2020
6332,TestIndigo,Ahmedabad,Mumbai,Friday,08:15,09:45,31-10-2020,27-03-2021
6343,TestIndigo,Ahmedabad,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday",13:15,14:40,26-10-2020,27-03-2021
6219,TestIndigo,Jaipur,Mumbai,Wednesday,05:10,06:55,02-07-2020,02-07-2020
5343,TestIndigo,Jaipur,Mumbai,Tuesday,06:10,,28-10-2020,24-03-2021
6347,TestIndigo,Jaipur,Mumbai,Friday,17:40,,27-03-2021,27-03-2021
5321,TestIndigo,Indore,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",07:25,08:40,29-03-2020,24-10-2020
